 ;Piraeus;Neo Faliro;Moschato;Kallithea;Tavros;Petralona;Thissio;Monastiraki;Omonia;Victoria;Attiki;Aghios Nikolaos;Kato Patissia;Aghios Eleftherios;Ano Patissia;Perissos;Pefkakia;Nea Ionia;Iraklio;Irini;Neratziotissa;Maroussi;KAT;Kifissia;Aghios Antonios;Sepolia;Attiki;Larissa Station;Metaxourghio;Omonia;Panepistimio;Syntagma;Akropoli;Sygrou-Fix;Neos Kosmos;Aghios Ioannis;Dafni;Aghios Dimitrios;Egaleo;Eleonas;Kerameikos;Monastiraki;Syntagma;Evangelismos;Megaro Moussikis;Ambelokipi;Panormou;Katehaki;Ethniki Amyna;Holargos;Nomismatokopio;Aghia Paraskevi;Halandri;Doukissis Plakentias;Pallini;Paiania-Kantza;Koropi;Airport
Pefkakia;13.549079690028314;12.646200215778217;10.965263072008543;9.712550384641407;9.072557020053118;8.4436105354437;7.171892214029386;7.107237717658577;6.423941409081715;5.206522727829516;4.81180588321028;3.8164114479184774;3.3975769969265017;2.4003126309279024;1.926499920377169;0.6716702486927457;0.0;0.6401897074011388;2.906029190718212;2.9723272462193626;3.9252710359940153;5.258915125295939;5.687289039778975;6.560045866699987;5.579168705645086;4.971348925553808;4.81180588321028;5.607126006763605;6.204870898983722;6.423941409081715;6.477657836558585;6.955346248656466;7.789977684470242;8.339655580057633;9.023602504419193;9.037083162406923;9.78500534187533;10.73756794353368;7.854632060199885;7.360897852595914;7.3355212686069455;7.107237717658577;6.955346248656466;6.775790541539863;6.417316499011557;5.581762108859705;5.015301369762108;5.35121333626001;5.180156053690502;5.302176347983573;5.792767233418651;8.405122725578396;8.464436201714799;7.666726448796592;8.464436201714799;12.022319354806044;18.79237602054789;20.397287045070268;
Nea Ionia;14.188175745826298;13.284638040341191;11.60160672223349;10.340192770180925;9.708038023790424;9.062987045293877;7.7816544092750535;7.701108946017073;7.019890386486817;5.809249879255733;5.44229220163774;4.44836803729597;4.03295571407741;3.040271672275207;2.566684037678234;1.3108498438618525;0.6401897074011388;0.0;2.2658826721074363;2.4830292910060017;3.431208749956943;4.690224575636298;5.074030413190213;5.931045197673253;6.20606279855647;5.611469498421692;5.44229220163774;6.2324107878288695;6.822530672100676;7.019890386486817;7.053661761543396;7.516418720673173;8.365122048932939;8.918885034555906;9.592235377807022;9.586805743016473;10.32284797404469;11.261079636509907;8.487023688553064;8.000871569654368;7.96133085073339;7.701108946017073;7.516418720673173;7.2892954072544525;6.901748635551182;6.034058365763672;5.415342197230444;5.637822348132274;5.369791451616969;5.3616576122716495;5.738399510131469;8.109642481419948;8.167956926913785;7.3863466318998245;8.167956926913785;11.905544314896114;18.875177388920193;20.323502208300898;
Iraklio;16.449234143401057;15.547147787839444;13.859215253489191;12.576356521014405;11.963962488038975;11.279594135608905;9.977186928656174;9.857995066349574;9.185006718256634;7.996270589272622;7.690031347588489;6.700486351425921;6.291674515557711;5.306080058267361;4.832512011583406;3.5755506482044837;2.906029190718212;2.2658826721074363;0.0;1.8459130802859172;2.3735584096551907;2.948680377605058;3.0110244752880906;3.7449886507854457;8.436580509889968;7.877351799510434;7.690031347588489;8.467784754991838;9.039406244612834;9.185006718256634;9.170530388133454;9.59297184127755;10.471616064385348;11.0330937242359;11.675345983032893;11.619334276137554;12.318502980231035;13.211052742763318;10.729054103566781;10.265474641136569;10.19523765004854;9.857995066349574;9.59297184127755;9.248222904791653;8.792775290561211;7.863385418763674;7.1358515580942035;7.057525913461724;6.542139601161265;6.1557131100370315;6.134909608037612;7.450996724082742;7.502497408774988;6.827064467197689;7.502497408774988;11.795711944855789;19.36513045398079;20.25343064319967;
Irini;16.133605429418534;15.035401872602506;13.310280242805511;11.916801432728764;11.42233387246797;10.563751418983832;9.221350013797103;9.010671786059175;8.371969571019973;7.271125638440459;7.185667907737598;6.259331464261554;5.91535660387552;5.087483077824008;4.666850830061073;3.562374846721471;2.9723272462193626;2.4830292910060017;1.8459130802859172;0.0;0.9532775937471781;2.394286187546545;3.076401387958215;4.093743967723742;8.387085106997372;7.562128035776827;7.185667907737598;7.881265082399051;8.369312948261207;8.371969571019973;8.260112115089234;8.603024207773712;9.51305988155025;10.078036429296628;10.656207457340594;10.524246724264799;11.163597441725651;11.989306019217423;10.594794149291229;9.95514233365419;9.562363990693044;9.010671786059175;8.603024207773712;8.104376438608357;7.584316441812022;6.621852905820779;5.8244985576732295;5.534114229404671;4.9066561915897395;4.390587171956351;4.296183899089339;5.834207231644382;5.889549349797792;5.157688893936862;5.889549349797792;10.01266381024964;17.51937805932485;18.477253767632845;
Neratziotissa;16.976571180392934;15.828173162613034;14.096957424271128;12.673517141273427;12.218376334798345;11.307992796761644;9.960218395705988;9.716751155110652;9.09687486909567;8.038391961376641;8.018844130261563;7.117000933502395;6.790657596730615;5.999032127212648;5.589846027768676;4.509392291763795;3.9252710359940153;3.431208749956943;2.3735584096551907;0.9532775937471781;0.0;1.5811366751449414;2.4463021439869808;3.4988623407657506;9.301924814041813;8.43581725162688;8.018844130261563;8.685789298182094;9.14413280608022;9.09687486909567;8.94743790236565;9.25215134828326;10.168293625057064;10.730515855628772;11.274931171910547;11.105900881992119;11.708635508279379;12.49045710029964;11.488787208046523;10.816885283527693;10.340356864487212;9.716751155110652;9.25215134828326;8.682236910144521;8.13240612179118;7.1650085394773075;6.339304633730231;5.890887675206072;5.162708659011125;4.464425700473399;4.137191004866137;5.083387772098067;5.135768264045087;4.453517171205522;5.135768264045087;9.451577321666074;17.172747303113592;17.898733245351004;
Maroussi;18.52344563235061;17.399186812784535;15.669538754896205;14.25212195504323;13.787727086839835;12.887884819420863;11.540399380253906;11.297780463880928;10.677781521565272;9.614024468919805;9.570133373441456;8.651476406806061;8.309629476771596;7.471763889433219;7.041640042411047;5.890171216538135;5.258915125295939;4.690224575636298;2.948680377605058;2.394286187546545;1.5811366751449414;0.0;1.0419932940349603;2.0496250052007743;10.764749426338662;9.956410924623938;9.570133373441456;10.250974271019022;10.71856824860606;10.677781521565272;10.52763897182756;10.82747985972982;11.744159577955994;12.30563394016316;12.84224269583022;12.662233761167073;13.250512701906837;14.011290389882072;12.985041738516756;12.34868754999107;11.914420328854657;11.297780463880928;10.82747985972982;10.240632668005686;9.681906472366368;8.715369060527918;7.8825311713227295;7.362699544873211;6.583065730412715;5.767904079296142;5.233038277613056;5.076491252790724;5.117012944962736;4.618931197979481;5.117012944962736;9.739553751339956;17.768642829331295;18.061739741248797;
KAT;19.144220499066854;18.093651587398817;16.372835646427838;14.990421110477905;14.48121329370505;13.63953828069697;12.297648935326473;12.084629154319508;11.448021952159896;10.344588723742255;10.224580913125497;9.275665536950909;8.908412424961785;8.009480685352717;7.557820053146313;6.347451761737384;5.687289039778975;5.074030413190213;3.0110244752880906;3.076401387958215;2.4463021439869808;1.0419932940349603;0.0;1.0531872796621966;11.261557866886477;10.547226339326127;10.224580913125497;10.939670087031157;11.440028821158432;11.448021952159896;11.32946434476525;11.658426641509527;12.571787791819867;13.135897383453166;13.697091152242706;13.540765049369263;14.151468559950223;14.936752994386218;13.521232583711413;12.950139418999415;12.631123443998412;12.084629154319508;11.658426641509527;11.116617551010993;10.573065558987587;9.605746024701597;8.783287225960622;8.323906450980616;7.568258092675002;6.785297500638823;6.273139888550116;5.932296422975246;5.967688356083361;5.53957240163618;5.967688356083361;10.640988388749165;18.737579506595385;18.89054981727688;
Kifissia;20.078313287065455;19.067405607391844;17.352190651427723;15.986948515422647;15.457638064604064;14.642895955449978;13.304560633192084;13.103096458407533;12.46090101252761;11.343111361466082;11.189069113209419;10.227980909834372;9.849222392877623;8.922350237638517;8.461711557287886;7.228707220326443;6.560045866699987;5.931045197673253;3.7449886507854457;4.093743967723742;3.4988623407657506;2.0496250052007743;1.0531872796621966;0.0;12.137088274625164;11.478471257375944;11.189069113209419;11.918812536317686;12.433012750884465;12.46090101252761;12.353847324866903;12.69187579088625;13.603701846470523;14.168330859810583;14.736378757699391;14.58584865634621;15.200712893531433;15.989016337873675;14.414250464202643;13.88150013141162;13.620432675876115;13.103096458407533;12.69187579088625;12.161867917058963;11.621386137367475;10.65423549693523;9.833594997459073;9.376088674549969;8.61592388694022;7.817002258187411;7.267391653097398;6.582996055981641;6.611563709154515;6.27822227762415;6.611563709154515;11.311560015133665;19.497411403598026;19.43425168441981;
Aghios Antonios;8.0837696481383;7.475883013241847;5.961944448159597;5.14898872707558;4.246668574955713;4.344845981197186;3.7223699163401442;4.105091911344967;3.677987019109645;3.1018935053905183;2.2018313396580265;2.5075272062908396;2.654672810694612;3.302949803654207;3.723109689661849;4.914644874194323;5.579168705645086;6.20606279855647;8.436580509889968;8.387085106997372;9.301924814041813;10.764749426338662;11.261557866886477;12.137088274625164;0.0;1.3579825734573305;2.2018313396580265;2.4610516105957787;2.9488683128737083;3.677987019109645;4.154460799125239;4.708789935444971;4.9654407001443035;5.274798390817156;6.009942104134588;6.36438735158425;7.162114656976254;8.183274006100518;2.3023691646762483;2.1512594401270735;3.2819795804667264;4.105091911344967;4.708789935444971;5.389762028262838;5.589640630546811;5.553089320521303;5.82600312020622;6.938345904745851;7.511091546576698;8.3649657303086;9.337806032754033;12.816761051298277;12.876946572406625;12.060468591866867;12.876946572406625;15.19853353409842;20.14368338313533;22.90178425869571;
Sepolia;8.600035736718128;7.689690865781518;6.03669460195642;4.919374522232796;4.167080973414934;3.828312870559279;2.8604035027927397;3.1141094331143386;2.5641788978369466;1.778864007512944;0.8451623002839137;1.343696447288935;1.6468283967398225;2.571530858202886;3.045032112876978;4.303115006033843;4.971348925553808;5.611469498421692;7.877351799510434;7.562128035776827;8.43581725162688;9.956410924623938;10.547226339326127;11.478471257375944;1.3579825734573305;0.0;0.8451623002839137;1.2877953257942283;1.9116580247989006;2.5641788978369466;2.9802010967847554;3.5619681213399734;3.9857464316698064;4.3883239750428125;5.144603655296558;5.41593928816116;6.2309653315115385;7.265632451664643;3.0900297370124705;2.403465305819542;2.6697593478993524;3.1141094331143386;3.5619681213399734;4.132514824617448;4.278493824277657;4.197915460747862;4.474387123616801;5.596061939501832;6.198054834989537;7.089565617315449;8.088879588518632;11.631651760801631;11.691353368674049;10.881009949571657;11.691353368674049;13.867319321972445;18.813139983356166;21.543803295730942;
